"Time","Row","Username","Outcome","Step","Detail"
"18:17:18","11","dalvarez","COMPLETE","5",""
"18:17:18","12","pnakamura","COMPLETE","5",""
"18:17:19","13","gokonkwo","COMPLETE","5",""
"18:17:19","15","awhitlock","COMPLETE","5",""
"18:17:20","16","bferreiro","COMPLETE","5",""
"18:17:20","21","tvance","COMPLETE","5",""
"18:17:21","22","dmbeki","COMPLETE","5",""
"18:17:21","24","apetrova","COMPLETE","5",""
"18:17:22","25","wcho","COMPLETE","5",""
"18:17:22","26","rquaye","COMPLETE","5",""
"18:17:23","27","mdelacroix","COMPLETE","5",""
"18:17:23","28","isorokin","COMPLETE","5",""
"18:17:23","31","lansari","COMPLETE","5",""
"18:17:24","32","bfeld","COMPLETE","5",""
"18:17:24","33","yadeyemi","COMPLETE","5",""
"18:17:25","34","test.user","COMPLETE","5",""
"18:17:25","35","moyelaran","COMPLETE","5",""
"18:17:26","36","cpetrie","COMPLETE","5",""
"18:17:26","37","hyoshida","COMPLETE","5",""
"18:17:27","38","ebergstrom","COMPLETE","5",""
"18:17:27","39","smarchetti","COMPLETE","5",""
"18:17:27","40","nosei","COMPLETE","5",""
